Signal Date,Symbol,Direction,Profit/Loss
03 May 2023,XAUUSD,Buy,Profit
23 May 2023,XAUUSD,Sell,Loss
26 May 2023,XAUUSD,Buy,Profit
29 May 2023,XAUUSD,Sell,Profit
30 May 2023,XAUUSD,Buy,Not executed
31 May 2023,XAUUSD,Sell,Loss
13 Jun 2023,XAUUSD,Buy,Profit
20 Jun 2023,XAUUSD,Sell,Not executed
23 Jun 2023,XAUUSD,Buy,Loss
04 Jul 2023,XAUUSD,Buy,Not executed
11 Jul 2023,XAUUSD,Buy,Not executed
12 Jul 2023,XAUUSD,Sell,Loss
20 Jul 2023,XAUUSD,Buy,Loss
27 Jul 2023,XAUUSD,Buy,Loss
31 Jul 2023,XAUUSD,Sell,Profit
